time,theta_cmd,theta,psi,x_lsb,y_lsb,z_lsb,norm
2026-03-03T15:36:06.655Z,-22.5,-21.62773277430495,-162.80394518877694,-102251.4,-76260.9,-246330.3,1.0835862188875984
2026-03-03T15:36:12.798Z,-22.5,-21.975719854381147,-179.7545087808928,-104060.3,-1404.9,-257906.3,1.0863742613120613
2026-03-03T15:36:19.055Z,-45,-45.10809478871608,-178.2074069374189,-190054.4,-5924.9,-189513.7,1.0486751509649124
2026-03-03T15:36:28.168Z,-45,-44.85464240667264,-149.4626858744272,-187999.2,-95960.8,-162753.1,1.0411511688911015
2026-03-03T15:36:40.659Z,-45,-46.99405002418259,-89.80154245496247,-186341.9,-173783.9,578.9,0.9953235588575524
2026-03-03T15:36:55.818Z,-45,-49.87305246426793,0.19337154413341295,-191239.4,456.8,161184.1,0.9769767158366138
2026-03-03T15:37:10.553Z,-45,-50.88546777803066,90.5722284424404,-194438.0,158118.0,-1530.2,0.9789796591841494
2026-03-03T15:37:22.388Z,-45,-46.93759387885653,150.18119731691047,-192563.8,89536.9,-156133.4,1.0296160123106812
2026-03-03T15:37:31.238Z,-45,-45.216152597501704,179.31704473176524,-190454.2,2418.0,-188981.4,1.0481031346103442
2026-03-03T15:37:40.044Z,-67.5,-68.46457802774846,178.03208824315016,-240131.6,3192.7,-94694.1,1.0083903323706143
2026-03-03T15:37:51.309Z,-67.5,-72.8715410138301,118.38565114877758,-241761.6,65514.3,-35458.1,0.9881968806213113
2026-03-03T15:38:06.261Z,-67.5,-74.51727521652595,-1.4987730481022652,-240583.1,-1653.7,66618.9,0.9751633771629662
2026-03-03T15:38:25.510Z,-67.5,-68.76071008261789,-120.68085182032632,-238246.5,-79648.5,-47241.2,0.9984806671940699
2026-03-03T15:38:38.208Z,-67.5,-68.41088330196774,-179.80280135649082,-240100.9,-378.7,-95018.4,1.0086681954535854
